Quote,Author
"Challenges are what make life interesting, and overcoming them is what makes life meaningful.",N/A
"Your time is limited, so don't waste it living someone else's life.",N/A
The best revenge you can do is by having massive success.,CopyWealth
"Success is not the key to happiness. Happiness is the key to success. If you love what you are doing, you will be successful.",N/A
"Success is not final, failure is not fatal: It is the courage to continue that counts.",N/A
The only limit to our realization of tomorrow will be our doubts of today.,N/A
"The harder you work for something, the greater you'll feel when you achieve it.",N/A
The only person you should try to be better than is the person you were yesterday,N/A
Unsuccessful people make their decisions based on their current situations. Successful people make their decisions based on where they want to be.,N/A
"If you work on something a little bit every day, you end up with something that is massive.",N/A
You don’t need to change the world; you need to change yourself.,N/A
"If you're too comfortable, it's time to move on. Terrified of what's next? You're on the right track.",N/A
Always expect the unexpected and be prepared for everything,CopyWealth
Become so strong that at the day they see you again they get jealious seeing you better,CopyWealth
"Just believe in yourself. Even if you don't, pretend that you do and at some point, you will.",N/A
"If you want something you've never had, you must be willing to do something you've never done.",N/A
The only way to grow is to step out of your comfort zone.,N/A
The only thing standing between you and your goal is the story you keep telling yourself that you can't achieve it.,N/A
The two most important days in your life are the day you are born and the day you find out why.,N/A
There is a big difference between someone who wants you and someone who would do anything to keep you.,antalented
"It's normal to miss someone when you're alone or lonely, but missing someone when you're busy or having fun, that's true affection.",antalented
"If John Wick killed 400 people over his dog, do you think I'm playing when it comes to my brothers?",antalented
Nobody is too busy to call or to see someone if they like you they will find a way to be with you period,CopyWealth
"You post a pic on Instagram and you get 10 likes. You post the same pic on your story and get 400 views. The moral of the story is, not many people like you but they're watching.",antalented
"Think about this. Why do we close our eyes when we pray, cry, kiss, or dream? Because the most beautiful things in life are not seen but felt by the heart.",geti.quotes
"If someone can fall asleep knowing you're crying, knowing you're hurting or didn't get home safe, they don't care for you. Trust me.",antalented
"This is a message to all the haters out there if you don't like what i do but you watch everything i'm doing you're still a fan",antalented
"I just heard the hardest hitting quote ever it says if your absence doesn't bother them your presence never meant anything to them",antalented
"I'm working on three things right now. Myself, my life, and my peace. So if you're not contributing to any of those, respectfully, do not disturb.",antalented
"If you love two people at the same time, choose the second one. Because if you really loved the first one, you wouldn't have fallen for the second.",antalented
"You should never apologize for saying what you feel, that's like saying sorry for being real. Always keep that in mind.",antalented
"I love friends that you don't see for days, weeks, even months, but the bond is still as strong as ever.",antalented
Take people exactly as they are in the first impression instead of fantasizing about who you want them to be.,CopyWealth
The more we value things outside our control the less control we have.,Epictetus
One day? or Day one,TheRock
Instead of imagining the things you want to do. Stand up and do them!,CopyWealth
You have 2 choices. Sleep with your dreams or wake up and chase them,CopyWealth
You either go after the life you want; or you keep settling for the life you get. The choice is yours.,antalented
To sleep peacefully you have to solve your current problems now,CopyWealth
A broken heart does not mean you are broken. The crack is there to let the light in,CopyWealth
When one door closes; another opens; but we often look so long and so regretfully upon the closed door that we do not see the one which has opened for us.,Alexander Graham Bell
Pain makes you stronger; fear makes you braver; heartbreak makes you wiser.,N/A
"Success isn't about luck. It's about dedication.",CopyWealth
